" "" SIDNEY WARREN JACKSON SR.""",
" ""RAYMOND PAUL MALLON""",
" ""RICHEBOURG GAILLARD McWILLIAMS""",
" ""GRETCHEN KNIEF SCHENK""",
" ""IRENE WILLIAMS""",
" ""MARY FARLEY WILLIS""",
" ""VIRGINIA ANN HOOPER BARTON""",
" ""ELEANOR BOYCE BROADUS""",
" ""WILLIAM YOUNG ELLIOTT SR.""",
" ""KATHERINE ELIZA FORNEY""",
" ""EDWIN PRESLEY HALL""",
" ""JOHN PETER KOHN JR.""",
" ""ROSE MARIE GIBBONS LOVETT""",
" ""RALPH MUSE LYON""",
" ""CLARABEL ISDELL McDONALD""",
" ""ROBERT WOODDY TAYLOR""",
" ""AUSTIN LEWIS VENABLE""",
" ""TALLULAH BROCKMAN BANKHEAD""",
" ""CELINA LUZANNE BOOZER""",
" ""GWEN BRISTOW""",
" ""WILLIAM HARVEY BUNCE""",
" ""ALBERT EUGENE CASEY""",
" ""GERTRUDE ALEXANDER CLEMMONS""",
" ""MATTIE LOU TEAGUE CROW""",
" ""VIRGINIA HEARD FOSTER DURR""",
" ""WILLIAM STANLEY HOOLE""",
" ""LAWRENCE HAYWOOD LEE JR.""",
" ""AGNES MAY""",
" ""FRANKLIN THRESHER McCANN""",
" ""LILLIAN FORT MEEKS""",
" ""JOSEPH HOWARD PARKS""",
" ""HERMAN E. STRONG""",
" ""LINTON LOMAS BARRETT""",
" ""RUTH FOREMAN BOATWRIGHT""",
" ""DEWEY C. BROOKINS""",
" ""RICHARD CHASE""",
" ""WADE HAMPTON COLEMAN JR.""",
" ""HERVEY FILES CRENSHAW JR.""",
" ""RHODA COLEMAN ELLISON""",
" ""ERIN LIVINGSTON FENDLEY""",
" ""DIXIE LOUISE GRANTHAM""",
" ""FRANCIS HUTCHESON HARE""",
" ""JOSEPH CLAUDE HAYES""",
" ""ELBERT CALVIN HENDERSON""",
" ""HENRIETTA FONTAINE McCORMICK HILL""",
" ""ROBERT McCLELLAN HILL""",
" ""FLORENCE SMITH JENKINS""",
" ""SPENCER BIDWELL KING""",
" ""LILLIAN CAMPBELL PROUT LONG""",
" ""JULIAN DOSSY MANCILL""",
" ""ROBERT NEVILLE MANN""",
" ""CHARLES COKER McWHORTER""",
" ""DANIEL HARRISON THOMAS""",
" ""EARL LEE TUCKER""",
" ""CLANTON WARE WILLIAMS""",
" ""EVA BELLE BERRY""",
" ""ROBERT DANE COOK""",
" ""WILLIAM EDWARDS FORT JR.""",
" ""LUCY ARIEL WILLIAMS HOLLOWAY""",
" ""WILLIAM HARRISON JENKINS""",
" ""PAULINE McLEOD LOGUE""",
" ""SARA MAYFIELD""",
" ""L. DON MILEY""",
" ""JAMES FREDERICK SULZBY JR.""",
" ""JAMES ALLEN TOWER""",
" ""HERBERT WEAVER""",
" ""AMASA BENJAMIN WINDHAM""",
" ""MARY E. BRANTLEY""",
" ""NORMAN AYLSWORTH BRITTIN""",
" ""WELDON COOPER""",
" ""FLOYD R. DUNN""",
" ""WILLIAM PERRY FIDLER""",
" ""KATHLEEN YERGER JOHNSTONE""",
" ""BENNIE CATHERINE MELLOWN""",
" ""JOSIAH HUBERT SCRUGGS JR.""",
" ""IDALEA CROCKER BRINKLEY""",
" ""CRANFORD HERMAN BURNS""",
" ""ROSA LEE BUSBY""",
" ""KATE W. CONSTANCE""",
" ""DAVID LLOYD DeJARNETTE""",
" ""EDDY LANIER KING GILMORE""",
" ""KATHERINE HALE HANLIN""",
" ""KARL C. HARRISON""",
